joint,fusion_joint_name,type,source,original_parent,original_child,parent,child,auto_swapped,skip_from_urdf,skip_reason,diagnostic_only,parent_has_inertial,child_has_inertial,parent_reachable_from_base_link,child_reachable_from_base_link,axis,lower_limit,upper_limit,limit_source,issue
continuous_joint_01,回転 1,continuous,as_built,base_link,neck_link_1,base_link,neck_link_1,False,False,,False,False,False,True,False,0.0 0.0 -1.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;child_not_reachable_from_base_link
continuous_joint_02,回転 3,continuous,as_built,neck_link_1,head_link_1,neck_link_1,head_link_1,False,False,,False,False,False,False,False,0.0 -1.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_03,回転 4,continuous,as_built,base_link,left_shoulder_link_1,base_link,left_shoulder_link_1,False,False,,False,False,False,True,False,-0.0 0.984808 0.173648,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;child_not_reachable_from_base_link
continuous_joint_04,回転 5,continuous,as_built,left_shoulder_link_1,left_upper_arm_link_1,left_shoulder_link_1,left_upper_arm_link_1,False,False,,False,False,False,False,False,1.0 0.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_05,回転 6,continuous,as_built,left_upper_arm_link_1,left_hand_link_1,left_upper_arm_link_1,left_hand_link_1,False,False,,False,False,False,False,False,1.0 0.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_06,回転 7,continuous,as_built,base_link,right_shoulder_link_1,base_link,right_shoulder_link_1,False,False,,False,False,False,True,False,0.0 -0.984808 0.173648,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;child_not_reachable_from_base_link
continuous_joint_07,回転 8,continuous,as_built,right_shoulder_link_1,right_upper_arm_link_1,right_shoulder_link_1,right_upper_arm_link_1,False,False,,False,False,False,False,False,-1.0 -0.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_08,回転 9,continuous,as_built,right_upper_arm_link_1,right_hand_link_1,right_upper_arm_link_1,right_hand_link_1,False,False,,False,False,False,False,False,-1.0 -0.0 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
continuous_joint_09,回転 10,continuous,as_built,base_link,left_hip_yaw_link_1,base_link,left_hip_yaw_link_1,False,False,,False,False,False,True,False,0.0 0.0 1.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;child_not_reachable_from_base_link
continuous_joint_10,回転 11,continuous,as_built,left_hip_yaw_link_1,left_hip_roll_link_1,left_hip_yaw_link_1,left_hip_roll_link_1,False,False,,False,False,False,False,False,-1.0 0.000528 0.0,0.0,0.0,fusion,parent_missing_inertial;child_missing_inertial;parent_not_reachable_from_base_link;child_not_reachable_from_base_link
